date,title,url,source,topic
2021-08-12T08:33:06Z,Afghanistan: Taliban take 10th provincial capital as Ghazni falls,https://www.bbc.co.uk/news/world-asia-58184202,,Afghanistan
2021-08-12T09:23:00Z,Syrian properties in Ankara attacked after youth killed - Reuters,https://www.reuters.com/world/middle-east/syrian-properties-ankara-attacked-after-youth-killed-2021-08-12/,,Afghanistan
2021-08-12T21:50:14Z,Afghanistan updates: Thousands of US troops to help with US Embassy departures,https://abcnews.go.com/Politics/thousands-troops-heading-afghanistan-us-embassy-departures/story?id=79425797,,Afghanistan
2021-08-12T06:15:00Z,Taliban battle government forces as U.S. fears Kabul could fall in 90 days - Reuters,https://www.reuters.com/world/asia-pacific/taliban-battle-government-forces-us-fears-kabul-could-fall-90-days-2021-08-12/,,Afghanistan
2021-08-12T06:06:53Z,Some Afghans blame neighboring Pakistan for Taliban gains,https://news.yahoo.com/afghans-blame-neighboring-pakistan-taliban-060653822.html,,Afghanistan
2021-08-12T21:15:43Z,"Taliban capture Kandahar, Afghanistan's second-largest city and birthplace of movement",https://news.yahoo.com/taliban-capture-kandahar-afghanistans-second-211543453.html,,Afghanistan
2021-08-12T14:55:44Z,Kabul could soon fall to Taliban: US military,https://abcnews.go.com/Politics/us-military-analysis-kabul-fall-taliban-90-days/story?id=79404085,,Afghanistan
2021-08-12T20:39:13Z,WATCH: This bar serves puptails for its furry customers,https://www.goodmorningamerica.com/living/video/bar-serves-puptails-furry-customers-79427297,,Afghanistan
2021-08-12T19:22:27Z,"Taliban fighters executing surrendering troops, US officials say",https://abcnews.go.com/Politics/us-warning-taliban-fighters-committing-atrocities-amount-war/story?id=79424000,,Afghanistan
2021-08-12T20:09:18Z,10 maps to understand Afghanistan,https://www.aljazeera.com/news/2021/8/12/10-maps-to-understand-afghanistan-interactive,,Afghanistan
2021-08-12T05:28:28Z,Thursday briefing: Pingdemic eases for double jabbed,https://amp.theguardian.com/world/2021/aug/12/thursday-briefing-pingdemic-eases-for-double-jabbed,,Afghanistan
2021-08-12T12:12:24Z,Timeline: Taliban’s rapid advance across Afghanistan,https://www.aljazeera.com/news/2021/8/12/timeline-taliban-advance-afghanistan-capitals-provinces,,Afghanistan
2021-08-12T13:52:59Z,European countries halt deportations amid Afghanistan fighting,https://www.aljazeera.com/news/2021/8/12/list-of-european-countries-halting-afghan-deportations-grows,,Afghanistan
2021-08-12T12:36:13Z,Who are Taliban’s key leaders in Afghanistan?,https://www.aljazeera.com/news/2021/8/12/who-are-talibans-key-leaders-in-afghanistan,,Afghanistan
2021-08-12T11:19:37Z,"Taliban take 10th Afghan provincial capital, squeezing Kabul...",https://apnews.com/article/middle-east-afghanistan-taliban-26d485963b7a0d9f2107afcbc38f239a,,Afghanistan
2021-08-12T13:07:36Z,"The US is leaving Afghanistan, but what is it leaving behind?",https://www.aljazeera.com/program/the-bottom-line/2021/8/12/the-us-is-leaving-afghanistan-but-what-is-it-leaving-behind,,Afghanistan
2021-08-12T21:10:46Z,"Taliban seizes Herat, Ghazni as battle for Kandahar rages on",https://www.aljazeera.com/news/2021/8/12/taliban-seize-herat-ghazni-as-fighting-rages-in-kandahar,,Afghanistan
2021-08-12T21:49:31Z,The hottest drop of the decade,https://www.usatoday.com/story/news/2021/08/12/census-results-covid-19-delta-variant-afghanistan-field-dreams-game-its-thursdays-news/5540008001/,,Afghanistan
2021-08-12T21:00:58Z,Your Friday Briefing,https://www.nytimes.com/2021/08/12/briefing/afghanistan-evacuations-australia-lockdowns-fires.html,,Afghanistan
2021-08-12T17:05:26Z,"Pakistan blames India, Afghanistan for deadly bus bombing",https://www.aljazeera.com/news/2021/8/12/pakistan-blames-india-afghanistan-for-bus-bombing,,Afghanistan
2021-08-12T16:37:22Z,US renews call for Americans to leave Afghanistan ‘immediately’,https://www.aljazeera.com/news/2021/8/12/us-renews-call-for-americans-to-leave-afghanistan-immediately,,Afghanistan
2021-08-12T11:49:12Z,Afghanistan gov’t offers to share power with Taliban: Official,https://www.aljazeera.com/news/2021/8/12/afghanistan-offer-power-sharing-taliban-official,,Afghanistan
2021-08-12T09:26:01Z,Pakistan useful for US only to clean up Afghanistan ‘mess’: Khan,https://www.aljazeera.com/news/2021/8/12/pakistan-imran-khan-afghanistan-mess-taliban,,Afghanistan
2021-08-12T18:24:34Z,Pentagon deploying personnel to Kabul to evacuate U.S. Embassy,https://www.politico.com/news/2021/08/12/pentagon-kabul-afghanistan-evacuate-us-embassy-504207,,Afghanistan
2021-08-12T04:00:02Z,Biden Delivers on Trump's Afghan Exit as Taliban Surges to Power,https://www.bloomberg.com/news/articles/2021-08-12/biden-delivers-on-trump-s-afghan-exit-as-taliban-surges-to-power,,Afghanistan
2021-08-12T14:32:27Z,U.S. Asks Taliban to Spare Its Kabul Embassy in Coming Fight for Capital - The New York Times,https://www.nytimes.com/2021/08/12/us/politics/taliban-afghanistan-us-embassy.html,,Afghanistan
2021-08-12T12:23:49Z,Calls to boycott China Olympics fall flat in D.C.,https://www.espn.com/olympics/story/_/id/32004162/calls-boycott-china-olympics-amid-uyghur-genocide-fall-flat-washington,,Afghanistan
2021-08-12T20:48:55Z,"Three Indians airlifted from Taliban area, embassy sounds alarm",https://indianexpress.com/article/india/three-indians-airlifted-from-taliban-area-embassy-sounds-alarm-7451251/,,Afghanistan
2021-08-12T20:06:41Z,Women in Taliban-held areas are reportedly not allowed to leave home 'without a male escort',https://news.yahoo.com/women-taliban-held-areas-reportedly-200641350.html,,Afghanistan
2021-08-12T02:33:39Z,Taliban could take Afghan capital within 90 days after rapid gains: US intelligence,https://indianexpress.com/article/world/taliban-could-take-afghan-capital-within-90-days-after-rapid-gains-us-intelligence-7449826/,,Afghanistan
2021-08-12T05:18:53Z,Police headquarters falls to Taliban in southern Afghanistan,https://economictimes.indiatimes.com/news/defence/police-headquarters-falls-to-taliban-in-southern-afghanistan/articleshow/85263596.cms,,Afghanistan
2021-08-12T06:59:23Z,"Taliban storms Kandahar prison, Lashkar Gah police HQ falls: Live",https://www.aljazeera.com/news/2021/8/12/afghanistan-taliban-kandahar-prison-police-ghazni-live-updates,,Afghanistan
2021-08-12T14:55:38Z,USA Asks to Spare Its Embassy in Coming Fight...,https://dnyuz.com/2021/08/12/u-s-asks-taliban-to-spare-its-embassy-in-coming-fight-for-kabul/,,Afghanistan
2021-08-12T07:58:00Z,US sees Pakistan useful only for clearing mess in Afghanistan: Imran Khan,https://indianexpress.com/article/world/us-pakistan-useful-only-clearing-mess-afghanistan-imran-khan-7450373/,,Afghanistan
2021-08-12T09:11:22Z,Nearly four lakh people newly displaced in Afghanistan by conflict since start of year: UN,https://indianexpress.com/article/world/nearly-four-lakh-people-newly-displaced-in-afghanistan-by-conflict-since-start-of-year-un-7450248/,,Afghanistan
2021-08-12T08:59:52Z,United States sees Pakistan useful only for clearing mess in Afghanistan: Imran Khan,https://economictimes.indiatimes.com/news/defence/united-states-sees-pakistan-useful-only-for-clearing-mess-in-afghanistan-imran-khan/articleshow/85267646.cms,,Afghanistan
2021-08-12T19:37:38Z,US deserves big share of blame for Afghanistan military disaster,https://amp.theguardian.com/world/2021/aug/12/afghanistan-us-military-analysis-biden-rumsfeld,,Afghanistan
2021-08-12T09:29:51Z,Some Afghans blame neighbouring Pakistan for Taliban gains,https://economictimes.indiatimes.com/news/defence/some-afghans-blame-neighbouring-pakistan-for-taliban-gains/articleshow/85268144.cms,,Afghanistan
2021-08-12T19:37:45Z,"U.S. Will Send 3,000 Extra Troops To Afghanistan Amid Drawdown From Kabul Embassy",https://www.forbes.com/sites/joewalsh/2021/08/12/us-will-send-3000-extra-troops-to-afghanistan-amid-drawdown-from-kabul-embassy/,,Afghanistan
2021-08-12T05:12:43Z,Nearly four lakh people newly displaced in Afghanistan by conflict since start of year: United Nations,https://economictimes.indiatimes.com/news/defence/nearly-four-lakh-people-newly-displaced-in-afghanistan-by-conflict-since-start-of-year-united-nations/articleshow/85263505.cms,,Afghanistan
2021-08-12T07:27:51Z,Kabul no longer far away as Taliban advances unbelievably quickly; world fears the inevitable,https://economictimes.indiatimes.com/news/international/world-news/kabul-no-longer-far-away-as-taliban-advances-unbelievably-quickly-world-fears-the-inevitable/articleshow/85265933.cms,,Afghanistan
2021-08-12T18:25:28Z,Pentagon to send troops to evacuate embassy staff from Afghanistan,https://www.axios.com/us-embassy-kabul-evacuation-troops-airport-be7a9dbd-0921-40db-8852-190697a7c8af.html,,Afghanistan
2021-08-12T06:16:36Z,Some Afghans blame neighboring Pakistan for Taliban gains - Associated Press,https://apnews.com/article/religion-pakistan-taliban-b6308923395cd6942b698a748728d11d,,Afghanistan
2021-08-12T01:05:48Z,Biden administration tries to mobilize international diplomatic effort to halt Taliban - The Washington Post,https://www.washingtonpost.com/national-security/biden-taliban-diplomacy-international-isolation/2021/08/11/7453ddae-fac3-11eb-943a-c5cf30d50e6a_story.html,,Afghanistan
2021-08-12T10:55:17Z,Links 8/12/2021,https://www.nakedcapitalism.com/2021/08/links-8-12-2021.html,,Afghanistan
2021-08-12T10:53:36Z,"One in ten asylum seekers crossing the Channel is an unaccompanied child, charity says",https://www.euronews.com/2021/08/12/one-in-ten-asylum-seekers-crossing-the-channel-is-an-unaccompanied-child-charity-says,,Afghanistan
2021-08-12T19:01:01Z,US evacuating Kabul embassy staff in Afghanistan amid Taliban gains,https://www.telegraph.co.uk/world-news/2021/08/12/us-evacuating-kabul-embassy-staff-afghanistan-amid-taliban-gains/,,Afghanistan
2021-08-12T13:36:00Z,"Designing Highfleet, a strategy game with heavy machinery and twirling knobs",https://www.gamasutra.com/view/news/386442/Designing_Highfleet_a_strategy_game_with_heavy_machinery_and_twirling_knobs.php?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+GamasutraFeatureArticles+%28Gamasutra+Feature+Articles%29,,Afghanistan
2021-08-12T13:25:42Z,‘A source of hope’: Afghanistan’s female journalists challenging sexism and the Taliban,https://amp.theguardian.com/global-development/2021/aug/12/afghanistan-female-journalists-rukhshana-media-sexism-taliba,,Afghanistan
2021-08-12T18:22:37Z,Expected to relocate 'significant' number of employees ...,https://news.trust.org/item/20210812180705-hzmdr,,Afghanistan
2021-08-12T16:38:14Z,"As Soldiers Come Home From Afghanistan, the War May Remain in Their Minds",https://www.psychologytoday.com/ca/blog/the-veterans-corner/202108/soldiers-come-home-afghanistan-the-war-may-remain-in-their-minds,,Afghanistan
